episode,level,language,total_reward,timing_reward,semantic_reward,budget_reward,locale_reward,budget_deficit,done_reason,n_segments_completed
0,1,Portuguese,-0.293,0.000,0.406,0.000,0.0,13.01,completed,5
10,1,Portuguese,-0.025,0.000,0.142,0.000,0.0,22.21,completed,5
20,1,Portuguese,-0.097,0.000,0.323,0.000,0.0,18.00,completed,5
30,1,Portuguese,-0.297,0.000,0.330,0.000,0.0,15.86,completed,5
40,1,Portuguese,-0.393,0.000,0.206,0.200,0.0,3.12,completed,5
50,1,Portuguese,-0.449,0.000,0.152,0.000,0.0,11.03,completed,5
60,1,Portuguese,-0.364,0.000,0.437,0.000,0.0,10.30,completed,5
70,1,Portuguese,0.168,0.000,0.251,0.000,0.0,13.94,completed,5
80,1,Portuguese,-0.359,0.000,0.188,0.000,0.0,18.37,completed,5
90,1,Portuguese,-0.446,0.000,0.164,0.000,0.0,11.02,completed,5
100,1,Portuguese,-0.341,0.000,0.215,0.050,0.0,8.35,completed,5
110,1,Portuguese,0.401,0.626,0.862,0.200,0.0,3.79,completed,5
120,1,Portuguese,0.362,0.000,0.186,0.000,0.0,13.44,completed,5
130,1,Portuguese,0.532,0.922,0.260,0.200,0.0,3.06,completed,5
140,1,Portuguese,0.303,0.000,0.226,0.000,0.0,10.74,completed,5
150,2,Portuguese,0.404,0.000,0.133,0.000,0.0,17.26,completed,8
160,2,Portuguese,0.331,0.000,0.149,0.200,0.0,4.61,completed,8
170,2,Portuguese,0.380,0.152,0.402,0.200,0.0,4.91,completed,8
180,2,Portuguese,0.371,0.043,0.396,0.200,0.0,4.05,completed,8
190,2,Portuguese,0.292,0.000,0.149,0.000,0.0,17.92,completed,8
200,2,Portuguese,0.506,0.874,0.186,0.200,0.0,3.02,completed,8
210,2,Portuguese,0.410,0.555,0.405,0.200,0.0,3.43,completed,8
220,2,Portuguese,0.386,0.311,0.583,0.200,0.0,4.31,completed,8
230,2,Portuguese,0.135,0.000,0.254,0.050,0.0,7.04,completed,8
