episode,level,language,total_reward,timing_reward,semantic_reward,budget_reward,locale_reward,budget_deficit,done_reason,n_segments_completed
0,1,Portuguese,-0.373,0.000,0.157,0.000,0.0,8.53,completed,5
10,1,Portuguese,-0.354,0.000,0.213,0.000,0.0,20.47,completed,5
20,1,Portuguese,-0.354,0.000,0.221,0.000,0.0,17.07,completed,5
30,1,Portuguese,-0.361,0.000,0.190,0.000,0.0,15.36,completed,5
40,1,Portuguese,-0.385,0.000,0.117,0.000,0.0,16.07,completed,5
50,1,Portuguese,-0.365,0.000,0.450,0.000,0.0,4.04,completed,5
60,1,Portuguese,-0.368,0.000,0.173,0.000,0.0,19.64,completed,5
70,1,Portuguese,-0.356,0.000,0.212,0.000,0.0,16.23,completed,5
80,1,Portuguese,-0.360,0.000,0.199,0.000,0.0,4.79,completed,5
90,1,Portuguese,-0.342,0.000,0.261,0.000,0.0,20.39,completed,5
100,1,Portuguese,-0.327,0.000,0.311,0.000,0.0,19.45,completed,5
110,1,Portuguese,0.002,0.000,0.290,0.000,0.0,4.21,completed,5
120,1,Portuguese,0.052,0.000,0.187,0.000,0.0,17.82,completed,5
130,1,Portuguese,0.326,0.021,0.556,0.000,0.0,3.72,completed,5
140,1,Portuguese,0.225,0.534,0.407,0.000,0.0,3.17,completed,5
150,1,Portuguese,0.520,0.948,0.521,0.369,0.0,1.26,completed,5
160,1,Portuguese,0.409,0.855,0.384,0.000,0.0,2.68,completed,5
170,1,Portuguese,0.297,0.154,0.439,0.000,0.0,4.47,completed,5
180,1,Portuguese,0.362,0.591,0.480,0.000,0.0,3.56,completed,5
190,1,Portuguese,0.472,0.425,0.620,0.000,0.0,3.47,completed,5
200,2,Portuguese,0.441,0.515,0.289,0.000,0.0,4.21,completed,8
210,2,Portuguese,0.135,0.044,0.579,0.000,0.0,3.85,completed,8
220,2,Portuguese,0.277,0.000,0.644,0.000,0.0,5.38,completed,8
230,2,Portuguese,0.457,0.216,0.766,0.000,0.0,3.28,completed,8
240,2,Portuguese,0.279,0.229,0.508,0.000,0.0,4.17,completed,8
250,2,Portuguese,0.302,0.707,0.584,0.000,0.0,3.27,completed,8
260,2,Portuguese,0.355,0.175,0.830,0.000,0.0,3.58,completed,8
270,2,Portuguese,0.278,0.000,0.472,0.000,0.0,4.02,completed,8
280,2,Portuguese,0.450,0.266,0.536,0.000,0.0,3.21,completed,8
290,2,Portuguese,0.345,0.552,0.609,0.000,0.0,3.06,completed,8
300,2,Portuguese,0.364,0.576,0.361,0.000,0.0,3.79,completed,8
310,2,Portuguese,0.445,0.829,0.118,0.000,0.0,3.07,completed,8
320,2,Portuguese,0.389,0.493,0.175,0.000,0.0,2.97,completed,8
330,2,Portuguese,0.366,0.000,0.304,0.000,0.0,10.12,completed,8
340,2,Portuguese,0.391,0.698,0.333,0.000,0.0,3.48,completed,8
350,2,Portuguese,0.085,0.181,0.383,0.000,0.0,3.44,completed,8
360,2,Portuguese,0.337,0.620,0.205,0.000,0.0,3.76,completed,8
370,2,Portuguese,0.545,0.626,0.821,0.000,0.0,3.19,completed,8
380,2,Portuguese,0.356,0.294,0.252,0.000,0.0,4.33,completed,8
390,2,Portuguese,0.492,0.211,0.204,0.000,0.0,3.12,completed,8
400,2,Portuguese,0.332,0.000,0.530,0.000,0.0,3.93,completed,8
410,2,Portuguese,0.261,0.000,0.138,0.000,0.0,12.48,completed,8
420,2,Portuguese,0.453,0.514,0.471,0.000,0.0,3.36,completed,8
430,2,Portuguese,0.307,0.164,0.316,0.000,0.0,3.62,completed,8
440,2,Portuguese,0.350,0.000,0.721,0.000,0.0,3.35,completed,8
450,2,Portuguese,0.521,0.549,0.634,0.000,0.0,3.04,completed,8
460,2,Portuguese,0.072,0.000,0.538,0.000,0.0,4.13,completed,8
470,2,Portuguese,0.449,0.936,0.305,0.000,0.0,2.18,completed,8
480,2,Portuguese,0.461,0.826,0.399,0.295,0.0,1.41,completed,8
490,2,Portuguese,-0.033,0.008,0.810,0.000,0.0,5.03,completed,8
500,3,Hindi,-0.139,0.000,0.268,0.000,0.0,7.52,completed,10
510,3,Hindi,-0.368,0.000,0.172,0.000,0.0,4.42,completed,10
520,3,Hindi,-0.387,0.000,0.110,0.000,0.0,3.94,completed,10
530,3,Hindi,0.149,0.386,0.100,0.000,0.0,3.08,completed,10
540,3,Hindi,0.067,0.722,0.134,0.000,0.0,3.49,completed,10
550,3,Hindi,-0.376,0.000,0.147,0.000,0.0,4.03,completed,10
560,3,Hindi,-0.076,0.000,0.108,0.000,0.0,4.52,completed,10
570,3,Hindi,-0.350,0.000,0.233,0.000,0.0,3.46,completed,10
580,3,Hindi,-0.360,0.000,0.201,0.000,0.0,5.05,completed,10
590,3,Hindi,-0.375,0.000,0.149,0.000,0.0,3.56,completed,10
600,3,Hindi,-0.375,0.000,0.171,0.000,0.0,7.42,completed,10
610,3,Hindi,-0.161,0.000,0.186,0.000,0.0,4.22,completed,10
620,3,Hindi,-0.452,0.000,0.172,0.000,0.0,5.58,completed,10
630,3,Hindi,-0.377,0.000,0.148,0.000,0.0,7.24,completed,10
640,3,Hindi,0.015,0.000,0.113,0.000,0.0,5.35,completed,10
650,3,Hindi,-0.379,0.000,0.136,0.000,0.0,3.72,completed,10
660,3,Hindi,-0.449,0.000,0.170,0.000,0.0,3.27,completed,10
670,3,Hindi,-0.084,0.000,0.110,0.000,0.0,4.22,completed,10
680,3,Hindi,-0.318,0.000,0.339,0.000,0.0,3.28,completed,10
690,3,Hindi,0.107,0.175,0.189,0.000,0.0,3.14,completed,10
700,3,Hindi,-0.328,0.000,0.306,0.000,0.0,4.82,completed,10
710,3,Hindi,0.053,0.216,0.123,0.000,0.0,4.16,completed,10
720,3,Hindi,-0.034,0.000,0.140,0.000,0.0,3.85,completed,10
730,3,Hindi,-0.371,0.000,0.163,0.000,0.0,4.10,completed,10
740,3,Hindi,0.013,0.000,0.254,0.000,0.0,5.05,completed,10
750,3,Hindi,0.052,0.000,0.154,0.000,0.0,3.74,completed,10
760,3,Hindi,-0.341,0.000,0.264,0.000,0.0,4.89,completed,10
770,3,Hindi,-0.027,0.966,0.092,0.000,0.0,3.03,completed,10
780,3,Hindi,-0.382,0.000,0.128,0.000,0.0,3.25,completed,10
790,3,Hindi,0.118,0.000,0.170,0.000,0.0,3.67,completed,10
800,3,Hindi,-0.083,0.219,0.206,0.000,0.0,4.50,completed,10
810,3,Hindi,-0.118,0.000,0.237,0.000,0.0,6.33,completed,10
820,3,Hindi,-0.066,0.000,0.156,0.000,0.0,6.44,completed,10
830,3,Hindi,-0.351,0.000,0.228,0.000,0.0,6.95,completed,10
840,3,Hindi,-0.093,0.264,0.110,0.000,0.0,3.59,completed,10
850,3,Hindi,-0.160,0.229,0.078,0.000,0.0,4.07,completed,10
860,3,Hindi,-0.438,0.000,0.207,0.000,0.0,3.44,completed,10
870,3,Hindi,-0.075,0.406,0.121,0.000,0.0,3.34,completed,10
880,3,Hindi,0.133,0.148,0.098,0.000,0.0,3.48,completed,10
890,3,Hindi,0.244,0.000,0.087,0.000,0.0,5.59,completed,10
900,3,Hindi,0.198,0.000,0.109,0.000,0.0,4.19,completed,10
910,3,Hindi,-0.051,0.000,0.229,0.000,0.0,5.10,completed,10
920,3,Hindi,0.148,0.027,0.160,0.000,0.0,3.33,completed,10
930,3,Hindi,0.262,0.733,0.192,0.000,0.0,3.39,completed,10
940,3,Hindi,-0.076,0.000,0.155,0.000,0.0,5.17,completed,10
950,3,Hindi,-0.056,0.000,0.107,0.000,0.0,4.75,completed,10
960,3,Hindi,0.209,0.000,0.229,0.000,0.0,4.60,completed,10
970,3,Hindi,0.164,0.000,0.166,0.000,0.0,4.63,completed,10
980,3,Hindi,0.452,0.735,0.091,0.000,0.0,2.71,completed,10
990,3,Hindi,0.435,0.791,0.104,0.000,0.0,3.20,completed,10
